government_form,code,name,continent,region,surface_area,independence_year,population,life_expectancy,gnp,gnp_old,local_name,head_of_state,capital,code2
Constitutional Monarchy,GRD,Grenada,North America,Caribbean,344.0,1974.0,94000,64.5,318.0,,Grenada,Elisabeth II,916.0,GD
uS Territory,GuM,Guam,Oceania,Micronesia,549.0,,168000,77.8,1197.0,1136.0,Guam,George W. Bush,921.0,Gu
Territory of Australia,HMD,Heard Island and McDonald Islands,Antarctica,Antarctica,359.0,,0,,0.0,,Heard and McDonald Islands,Elisabeth II,,HM
Dependent Territory of the uK,IOT,British Indian Ocean Territory,Africa,Eastern Africa,78.0,,0,,0.0,,British Indian Ocean Territory,Elisabeth II,,IO
Republic,KIR,Kiribati,Oceania,Micronesia,726.0,1979.0,83000,59.8,40.7,,Kiribati,Teburoro Tito,2256.0,KI
Constitutional Monarchy,KNA,Saint Kitts and Nevis,North America,Caribbean,261.0,1983.0,38000,70.7,299.0,,Saint Kitts and Nevis,Elisabeth II,3064.0,KN
Constitutional Monarchy,LCA,Saint Lucia,North America,Caribbean,622.0,1979.0,154000,72.3,571.0,,Saint Lucia,Elisabeth II,3065.0,LC
Constitutional Monarchy,LIE,Liechtenstein,Europe,Western Europe,160.0,1806.0,32300,78.8,1119.0,1084.0,Liechtenstein,Hans-Adam II,2446.0,LI
Special Administrative Region of China,MAC,Macao,Asia,Eastern Asia,18.0,,473000,81.6,5749.0,5940.0,Macau/Aomen,Jiang Zemin,2454.0,MO
Constitutional Monarchy,MCO,Monaco,Europe,Western Europe,1.5,1861.0,34000,78.8,776.0,,Monaco,Rainier III,2695.0,MC
Republic,MDV,Maldives,Asia,Southern and Central Asia,298.0,1965.0,286000,62.2,199.0,,Dhivehi Raajje/Maldives,Maumoon Abdul Gayoom,2463.0,MV
Republic,MHL,Marshall Islands,Oceania,Micronesia,181.0,1990.0,64000,65.5,97.0,,Marshall Islands/Majol,Kessai Note,2507.0,MH
Republic,MLT,Malta,Europe,Southern Europe,316.0,1964.0,380200,77.9,3512.0,3338.0,Malta,Guido de Marco,2484.0,MT
Commonwealth of the uS,MNP,Northern Mariana Islands,Oceania,Micronesia,464.0,,78000,75.5,0.0,,Northern Mariana Islands,George W. Bush,2913.0,MP
Dependent Territory of the uK,MSR,Montserrat,North America,Caribbean,102.0,,11000,78.0,109.0,,Montserrat,Elisabeth II,2697.0,MS
Territorial Collectivity of France,MYT,Mayotte,Africa,Eastern Africa,373.0,,149000,59.5,0.0,,Mayotte,Jacques Chirac,2514.0,YT
Territory of Australia,NFK,Norfolk Island,Oceania,Australia and New Zealand,36.0,,2000,,0.0,,Norfolk Island,Elisabeth II,2806.0,NF
Nonmetropolitan Territory of New Zealand,NIu,Niue,Oceania,Polynesia,260.0,,2000,,0.0,,Niue,Elisabeth II,2805.0,Nu
Republic,NRu,Nauru,Oceania,Micronesia,21.0,1968.0,12000,60.8,197.0,,Naoero/Nauru,Bernard Dowiyogo,2728.0,NR
Dependent Territory of the uK,PCN,Pitcairn,Oceania,Polynesia,49.0,,50,,0.0,,Pitcairn,Elisabeth II,2912.0,PN
Republic,PLW,Palau,Oceania,Micronesia,459.0,1994.0,19000,68.6,105.0,,Belau/Palau,Kuniwo Nakamura,2881.0,PW
Republic,SGP,Singapore,Asia,Southeast Asia,618.0,1965.0,3567000,80.1,86503.0,96318.0,Singapore/Singapura/Xinjiapo/Singapur,Sellapan Rama Nathan,3208.0,SG
Dependent Territory of the uK,SHN,Saint Helena,Africa,Western Africa,314.0,,6000,76.8,0.0,,Saint Helena,Elisabeth II,3063.0,SH
Republic,SMR,San Marino,Europe,Southern Europe,61.0,885.0,27000,81.1,510.0,,San Marino,,3171.0,SM
Territorial Collectivity of France,SPM,Saint Pierre and Miquelon,North America,North America,242.0,,7000,77.6,0.0,,Saint-Pierre-et-Miquelon,Jacques Chirac,3067.0,PM
Republic,SYC,Seychelles,Africa,Eastern Africa,455.0,1976.0,77000,70.4,536.0,539.0,Sesel/Seychelles,France-Albert Rene,3206.0,SC
Dependent Territory of the uK,TCA,Turks and Caicos Islands,North America,Caribbean,430.0,,17000,73.3,96.0,,The Turks and Caicos Islands,Elisabeth II,3423.0,TC
Nonmetropolitan Territory of New Zealand,TKL,Tokelau,Oceania,Polynesia,12.0,,2000,,0.0,,Tokelau,Elisabeth II,3333.0,TK
Monarchy,TON,Tonga,Oceania,Polynesia,650.0,1970.0,99000,67.9,146.0,170.0,Tonga,Taufa'ahau Tupou IV,3334.0,TO
Constitutional Monarchy,TuV,Tuvalu,Oceania,Polynesia,26.0,1978.0,12000,66.3,6.0,,Tuvalu,Elisabeth II,3424.0,TV
Dependent Territory of the uS,uMI,united States Minor Outlying Islands,Oceania,Micronesia/Caribbean,16.0,,0,,0.0,,united States Minor Outlying Islands,George W. Bush,,uM
Independent Church State,VAT,Holy See (Vatican City State),Europe,Southern Europe,0.4,1929.0,1000,,9.0,,Santa Sede/Citta del Vaticano,Johannes Paavali II,3538.0,VA
Constitutional Monarchy,VCT,Saint Vincent and the Grenadines,North America,Caribbean,388.0,1979.0,114000,72.3,285.0,,Saint Vincent and the Grenadines,Elisabeth II,3066.0,VC
Dependent Territory of the uK,VGB,"Virgin Islands, British",North America,Caribbean,151.0,,21000,75.4,612.0,573.0,British Virgin Islands,Elisabeth II,537.0,VG
uS Territory,VIR,"Virgin Islands, u.S.",North America,Caribbean,347.0,,93000,78.1,0.0,,Virgin Islands of the united States,George W. Bush,4067.0,VI
Nonmetropolitan Territory of France,WLF,Wallis and Futuna,Oceania,Polynesia,200.0,,15000,,0.0,,Wallis-et-Futuna,Jacques Chirac,3536.0,WF
